meeting_date,item_number,item_description,status,disciplines_required,disciplines_present
2026-01-15,1,MEP riser location Level 3,DECIDED,"Architecture,Structural,Mechanical","Architecture,Structural,Mechanical"
2026-01-15,2,Fire rating of transfer beam penetrations,DECIDED,"Structural,Mechanical,Hydraulic","Structural,Mechanical,Hydraulic"
2026-01-15,3,Ceiling height coordination Level 5,DEFERRED,"Architecture,Structural,Mechanical,Electrical","Architecture,Structural,Mechanical,Electrical"
2026-01-15,4,Loading dock exhaust routing,DECIDED,"Architecture,Mechanical","Architecture,Mechanical"
2026-01-15,5,Switchboard room ventilation requirements,DECIDED,"Electrical,Mechanical","Electrical,Mechanical"
2026-01-15,6,Facade bracket coordination with slab edge,DEFERRED,"Architecture,Structural","Architecture,Structural"
2026-01-22,1,Ceiling height coordination Level 5 (from prev),DECIDED,"Architecture,Structural,Mechanical,Electrical","Architecture,Structural,Mechanical"
2026-01-22,2,Stormwater connection point Level B2,DECIDED,"Hydraulic,Structural","Hydraulic,Structural"
2026-01-22,3,BMS cable tray routing above Level 3 corridor,DEFERRED,"Electrical,Mechanical","Electrical"
2026-01-22,4,Acoustic separation at plant room wall,DECIDED,"Architecture,Mechanical","Architecture,Mechanical"
2026-01-22,5,Lift shaft pressurisation duct route,DECIDED,"Mechanical,Architecture,Structural","Mechanical,Architecture,Structural"
2026-01-22,6,Facade bracket coordination (carried over),DECIDED,"Architecture,Structural","Architecture,Structural"
2026-01-22,7,Emergency generator fuel line routing,DEFERRED,"Electrical,Hydraulic,Mechanical","Electrical,Hydraulic"
2026-01-29,1,BMS cable tray routing (from prev),DECIDED,"Electrical,Mechanical","Electrical,Mechanical"
2026-01-29,2,Emergency generator fuel line (from prev),DECIDED,"Electrical,Hydraulic,Mechanical","Electrical,Hydraulic,Mechanical"
2026-01-29,3,Grease trap location change request,DEFERRED,"Hydraulic,Architecture","Hydraulic"
2026-01-29,4,Level 7 plant room structural loading,DECIDED,"Structural,Mechanical","Structural,Mechanical"
2026-01-29,5,Car park ventilation jet fan layout,DECIDED,"Mechanical,Structural,Electrical","Mechanical,Structural,Electrical"
2026-02-05,1,Grease trap location (from prev),DECIDED,"Hydraulic,Architecture","Hydraulic,Architecture"
2026-02-05,2,Level 2 tenant fitout coordination zone,DEFERRED,"Architecture,Mechanical,Electrical","Architecture,Mechanical"
2026-02-05,3,Fire hydrant booster location,DECIDED,"Hydraulic,Architecture,Structural","Hydraulic,Architecture,Structural"
2026-02-05,4,Main switchroom cable entry coordination,DECIDED,"Electrical,Structural","Electrical,Structural"
2026-02-05,5,Roof plant screen wall coordination,DECIDED,"Architecture,Structural,Mechanical","Architecture,Structural,Mechanical"
2026-02-05,6,Disabled access ramp structural support,DECIDED,"Architecture,Structural","Architecture,Structural"
2026-02-12,1,Level 2 tenant fitout coordination (from prev),DECIDED,"Architecture,Mechanical,Electrical","Architecture,Mechanical,Electrical"
2026-02-12,2,Waterproofing at planter box penetrations,DEFERRED,"Hydraulic,Architecture","Hydraulic"
2026-02-12,3,Gas meter room ventilation,DECIDED,"Mechanical,Hydraulic","Mechanical,Hydraulic"
2026-02-12,4,Post-tension band penetration protocol,DECIDED,"Structural,Mechanical,Hydraulic,Electrical","Structural,Mechanical,Hydraulic,Electrical"
2026-02-12,5,Loading dock roller shutter clearance,DECIDED,"Architecture,Structural,Mechanical","Architecture,Structural"
2026-02-12,6,Substation transformer pad coordination,DECIDED,"Electrical,Structural","Electrical,Structural"
2026-02-19,1,Waterproofing at planter box (from prev),DECIDED,"Hydraulic,Architecture","Hydraulic,Architecture"
2026-02-19,2,Roof drainage overflow path,DECIDED,"Hydraulic,Architecture,Structural","Hydraulic,Architecture,Structural"
2026-02-19,3,Lift motor room ventilation,DECIDED,"Mechanical,Electrical","Mechanical,Electrical"
2026-02-19,4,Amenities exhaust riser clash Level 4-6,DEFERRED,"Mechanical,Architecture,Structural","Mechanical,Architecture"
2026-02-19,5,Fire stair pressurisation intake location,DECIDED,"Mechanical,Architecture","Mechanical,Architecture"
2026-02-19,6,Electrical submain routing Level B1,DEFERRED,"Electrical,Structural","Electrical"
2026-02-19,7,Slab penetration schedule sign-off,DECIDED,"Structural,Mechanical,Hydraulic,Electrical","Structural,Mechanical,Hydraulic,Electrical"
